0;INEA E PCT TRANSPORTES EIRELI;FATURAS VENCIDAS;08/04/2026;12:59
1;Fatura;Emissao;CNPJ pagador;Nome pagador;ClienteABC;Cidade pagador;UF pagador;UnidResp;Vendedor;Banco;Valor;Vencimento;DiasAtraso;Saldo
2;0003556-4;15/05/23;02314099000121;FRANKE SISTEMAS DE COZINHAS DO BRASIL LTDA;".2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;636,62;29/05/23;1045;636,62
2;0002644-1;11/07/22;02314099000121;FRANKE SISTEMAS DE COZINHAS DO BRASIL LTDA;".2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;2961,20;29/07/22;1349;2961,20
2;0002645-0;11/07/22;02314099000121;FRANKE SISTEMAS DE COZINHAS DO BRASIL LTDA;".2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;282,73;12/08/22;1335;282,73
2;0001761-2;05/07/21;02314099000121;FRANKE SISTEMAS DE COZINHAS DO BRASIL LTDA;".2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;321,15;19/08/21;1693;321,15
2;0004943-3;16/09/24;02314099000121;FRANKE SISTEMAS DE COZINHAS DO BRASIL LTDA;".2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;641,40;30/09/24;555;641,40
2;0001971-2;11/10/21;02314099000121;FRANKE SISTEMAS DE COZINHAS DO BRASIL LTDA;".2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;407,60;25/10/21;1626;407,60
2;0001995-0;18/10/21;02314099000121;FRANKE SISTEMAS DE COZINHAS DO BRASIL LTDA;".2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;188,89;01/11/21;1619;188,89
2;0005151-9;09/12/24;02314099000121;FRANKE SISTEMAS DE COZINHAS DO BRASIL LTDA;".2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;753,99;23/12/24;471;753,99
2;0001178-9;28/09/20;37981152000122;GARRA EXPRESS LOGISTICA LTDA;".2";JOINVILLE;SC;JOI;;CARTEIRA;1155,26;12/10/20;2004;1155,26
2;0001203-3;13/10/20;37981152000122;GARRA EXPRESS LOGISTICA LTDA;".2";JOINVILLE;SC;JOI;;BANCO ITAU S.A.;604,09;27/10/20;1989;604,09
2;0001204-1;13/10/20;37981152000122;GARRA EXPRESS LOGISTICA LTDA;".2";JOINVILLE;SC;JOI;;BANCO ITAU S.A.;400,00;27/10/20;1989;400,00
2;0000060-4;15/04/19;11040609000291;HDLOG TRANSPORTES;".2";SERRA;ES;JOI;;CARTEIRA;144,80;29/04/19;2536;144,80
2;0006348-7;23/03/26;00192861000119;HIDRO FILTROS DO BRASIL IND.E;"B2";JOINVILLE;SC;JOI;ario;SICREDI;4536,33;06/04/26;2;4536,33
2;0002562-3;06/06/22;07650125000106;LB INDUSTRIA LTDA;".2";JARAGUA DO SUL;SC;JOI;alexsand;BANCO ITAU S.A.;667,51;20/06/22;1388;667,51
2;0004015-1;20/10/23;08198726000192;MARFIM-IND. E COM. FERRAMENTAS;".2";JARAGUA DO SUL;SC;JOI;alexsand;CARTEIRA;526,59;10/11/23;880;526,59
2;0002197-1;04/01/22;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;34940,61;18/01/22;1541;3465,69
2;0002269-1;08/02/22;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;41145,14;22/02/22;1506;8758,49
2;0006286-3;03/03/26;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;13330,08;24/03/26;15;13330,08
2;0006309-6;10/03/26;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;36325,13;31/03/26;8;36325,13
2;0006335-5;17/03/26;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;56054,47;07/04/26;1;56054,47
2;0002419-8;12/04/22;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;35317,57;26/04/22;1443;218,38
2;0003482-7;18/04/23;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;33443,58;02/05/23;1072;33443,58
2;0002432-5;19/04/22;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;55357,68;03/05/22;1436;298,46
