0;INEA E PCT TRANSPORTES EIRELI;CTRCS EMITIDOS MENSAL;08/04/2026;02:24
1;CODIGO;DESCRICAO;TIPO;PROCESSO;PAGA COMISSAO RECEPCAO;PAGA AGREGADO ENTREGA;COBRAR REENTREGA;COBRAR ESTADIA;INFORMA CLIENTE;RESPONSABILIDADE UNIDADE ORIGEM;RESPONSABILIDADE UNIDADE ANTERIOR;CODIGO SSW;DESCRICAO SSW;
2; 79; COLETA REVERSA AGENDADA ; INFORMATIVO; COLETA ; -; -; -; -; X; -; -; 79; COLETA AGENDADA ;
2; 80; CTRC EMITIDO ; INFORMATIVO; OPERACIONAL ; -; -; -; -; X; -; -; 80; DOCUMENTO DE TRANSPO;
2; 81; SUBCONTRATO EMITIDO ; INFORMATIVO; OPERACIONAL ; -; -; -; -; -; -; -; 00; ;
2; 82; SAIDA DA UNIDADE ; INFORMATIVO; OPERACIONAL ; -; -; -; -; X; -; -; 82; SAIDA DE UNIDADE ;
2; 83; CHEGADA NA UNIDADE ; INFORMATIVO; OPERACIONAL ; -; -; -; -; X; -; -; 83; CHEGADA EM UNIDADE D;
2; 84; CHEGADA NA UNIDADE DE DESTINO ; INFORMATIVO; OPERACIONAL ; -; -; -; -; -; X; -; 84; CHEGADA EM UNIDADE D;
2; 85; SAIDA PARA ENTREGA ; INFORMATIVO; OPERACIONAL ; -; -; -; -; -; -; -; 85; SAIDA PARA ENTREGA ;
2; 86; ESTORNO DE BAIXA OU ENTREGA ; INFORMATIVO; GERAL ; -; -; -; -; X; -; -; 86; ESTORNO DE BAIXA/ENT;
2; 91; MERCADORIA EM INDENIZACAO ; PENDENCIA ; INDENIZACAO ; -; -; -; -; X; -; -; 91; MERCADORIA EM INDENI;
2; 92; MERCADORIA INDENIZADA ; BAIXA ; INDENIZACAO ; -; -; -; -; X; -; -; 92; MERCADORIA INDENIZAD;
2; 93; CTRC EMITIDO PARA EFEITO DE FRETE OU IMP; BAIXA ; GERAL ; -; -; -; -; X; -; -; 93; CTRC EMITIDO PARA EF;
2; 94; CTRC SUBSTITUIDO ; BAIXA ; GERAL ; -; -; -; -; X; -; -; 94; CTRC SUBSTITUIDO ;
2; 98; PENDENCIA SOLUCIONADA ; SOLUCIONADA; GERAL ; -; -; -; -; -; -; -; 00; ;
2; 99; CTRC BAIXADO OU CANCELADO ; BAIXA ; GERAL ; -; -; -; -; X; -; -; 99; CTRC BAIXADO/CANCELA;
